rank,name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target,physchem_compliance,toxic_score,final_score
69,TMIH-0590,[H][C@@]12CC[C@]([H])([C@H](C)CCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC([2H])([2H])[C@@H](O)C([2H])([2H])[C@@]3([H])C[C@H](O)[C@@]21[H],396.6,4.48,77.76,3,3,4,0,0.3467,Obeticholic acid (OCA),FXR,1.0,0.6,0.6781
70,T64334,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCC(=O)[O-])[C@@]1(C)CC[C@@H](O)C2,432.63,3.29,89.46,2,4,6,0,0.3165,Obeticholic acid (OCA),FXR,1.0,0.6,0.6608
71,T19526,Nc1ncnc2c1ncn2CCOC[P@@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,423.8,3.41,114.38,1,8,6,0,0.4111,VK2809,THR-beta,1.0,0.4,0.6549
72,T10953,Cc1cccc(C)c1OCc1cc(C(=O)N2CCC(c3ccncc3)CC2)no1,391.47,4.29,68.46,0,5,5,0,0.3059,Denifanstat (TVB-2640),FASN,1.0,0.6,0.6548
73,T34788,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@@H](O)C2,483.72,4.43,103.7,3,4,7,0,0.3049,Obeticholic acid (OCA),FXR,1.0,0.6,0.6542
74,T2744,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)OC)[C@]1([H])[C@H](O)C2,422.61,3.54,86.99,3,5,4,0,0.3038,Obeticholic acid (OCA),FXR,1.0,0.6,0.6536
75,T1172,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,407.64,3.54,91.54,1,4,3,0,0.3014,Resmetirom,THR-beta,1.0,0.6,0.6522
76,T12220,CC(C)(C)c1ccc(OCC(=O)NCCNC(=O)COc2ccc(C(C)(C)C)cc2)cc1,440.58,3.97,76.66,2,4,9,0,0.38,BI-1467335,AOC3/VAP-1,1.0,0.4,0.6371
77,T8752,[H][C@@]12CC[C@]([H])([C@H](C)CCCO)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@H](CC)[C@@H](O)[C@@]21[H],406.65,5.02,60.69,3,3,5,1,0.3611,Obeticholic acid (OCA),FXR,1.0,0.4,0.6263
78,T10623,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)CF)[C@]1([H])[C@H](O)C2,408.6,4.93,57.53,2,3,5,0,0.3243,Obeticholic acid (OCA),FXR,1.0,0.4,0.6053
79,T32798,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)ON3C(=O)CCC3=O)[C@@]1(C)CC[C@@H](O)C2,473.65,5.03,83.91,1,5,5,1,0.3049,Obeticholic acid (OCA),FXR,1.0,0.4,0.5942
80,TN2215,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@@]3([H])[C@]1([H])[C@H](O)C2,521.7,2.94,112.93,3,6,8,1,0.3373,Obeticholic acid (OCA),FXR,1.0,0.2,0.5528
81,TN2349,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O][Na])CC[C@]43[H])[C@@]1(C)CC[C@@H](O)C2,521.7,2.94,112.93,3,6,8,1,0.3218,Obeticholic acid (OCA),FXR,1.0,0.2,0.5439
