Rank,Type,ID,Molecule_Count
352,RefSeq,O75116,58
353,RefSeq,P28482,58
354,RefSeq,Q12866,58
355,RefSeq,P59594,58
356,RefSeq,Q13464,57
357,RefSeq,O60563,57
358,RefSeq,P22607,57
359,RefSeq,P30543,57
360,RefSeq,P21554,57
361,RefSeq,P11309,57
362,RefSeq,CAC24715,57
363,RefSeq,NP_002060,57
364,RefSeq,AAC39835,57
365,RefSeq,AAH38507,57
366,RefSeq,P27815,56
367,RefSeq,P48730,56
368,RefSeq,Q96SW2,56
369,RefSeq,NP_059990,56
370,RefSeq,P46098,55
371,RefSeq,P49674,55
372,RefSeq,P19328,55
373,RefSeq,P08588,55
374,RefSeq,NP_001159419,55
375,RefSeq,P29317,55
376,RefSeq,Q8JUX6,55
377,RefSeq,EAW58774,55
378,RefSeq,Q16678,55
379,RefSeq,Q02750,55
380,RefSeq,EDM11231,55
381,RefSeq,P23280,54
382,RefSeq,P22909,54
383,RefSeq,P45984,54
384,RefSeq,P10632,54
385,RefSeq,Q9Y4K4,54
386,RefSeq,Q13882,54
387,RefSeq,NP_031863,54
388,RefSeq,AAF04852,54
389,RefSeq,Q15078,53
390,RefSeq,P45983,53
391,RefSeq,P51451,53
392,RefSeq,NP_005148,53
393,RefSeq,Q9H0K1,53
394,RefSeq,NP_003813,53
395,RefSeq,AAI07736,53
396,RefSeq,NP_004337,53
397,RefSeq,NP_002238,53
398,RefSeq,Q9Y2D0,52
399,RefSeq,P22086,52
400,RefSeq,P27338,52
401,RefSeq,P78527,52
402,RefSeq,Q9UKE5,52
403,RefSeq,BAH02291,52
404,RefSeq,NP_598837,52
405,RefSeq,Q02763,51
406,RefSeq,P62813,51
407,RefSeq,Q9HAZ1,51
408,RefSeq,Q63921,51
409,RefSeq,P30994,51
410,RefSeq,O94806,51
411,RefSeq,Q04771,51
412,RefSeq,BAA85004,51
413,RefSeq,AAD47214,51
414,RefSeq,Q05DJ8,51
415,RefSeq,P34981,51
416,RefSeq,AAF25870,51
417,RefSeq,AAC83551,51
418,RefSeq,NP_766400,51
419,RefSeq,P11511,50
420,RefSeq,Q14524,50
421,RefSeq,Q99250,50
422,RefSeq,O15197,50
423,RefSeq,P27986,50
424,RefSeq,O95819,50
425,RefSeq,Q14680,50
426,RefSeq,CAD52000,50
427,RefSeq,NP_001421,50
428,RefSeq,NP_055320,50
429,RefSeq,Q2M2I8,49
430,RefSeq,P35439,49
431,RefSeq,P21731,49
432,RefSeq,Q9NYL2,49
433,RefSeq,NP_001008709,49
434,RefSeq,NP_997055,49
435,RefSeq,Q13131,48
436,RefSeq,P24385,48
437,RefSeq,Q00534,48
438,RefSeq,Q15759,48
439,RefSeq,P09917,48
440,RefSeq,Q07869,48
441,RefSeq,Q12851,48
442,RefSeq,NP_036923,48
443,RefSeq,AAI29989,48
444,RefSeq,P54760,47
445,RefSeq,P22455,47
446,RefSeq,P28222,47
447,RefSeq,Q9UQL6,47
448,RefSeq,Q9UQB9,47
449,RefSeq,P17612,47
450,RefSeq,P13945,47
451,RefSeq,P09769,47
452,RefSeq,Q9Y572,47
453,RefSeq,NP_000876,47
454,RefSeq,ABC94591,47
455,RefSeq,P51812,46
456,RefSeq,P27361,46
457,RefSeq,P29275,46
458,RefSeq,P56524,46
459,RefSeq,P04049,46
460,RefSeq,P18031,46
461,RefSeq,Q13188,46
462,RefSeq,XP_001349989,46
463,RefSeq,Q9Y6L6,46
464,RefSeq,NP_066921,46
465,RefSeq,BAH02301,46
466,RefSeq,Q00960,45
467,RefSeq,P28566,45
468,RefSeq,Q92731,45
469,RefSeq,Q9HBH9,45
470,RefSeq,Q9NWZ3,45
471,RefSeq,O42713,45
472,RefSeq,Q16620,45
473,RefSeq,NP_858045,45
474,RefSeq,NP_001171675,45
475,RefSeq,NP_001341533,45
476,RefSeq,NP_000143,45
477,RefSeq,NP_000900,44
478,RefSeq,Q00961,44
479,RefSeq,Q96DB2,44
480,RefSeq,Q8WUI4,44
481,RefSeq,P04798,44
482,RefSeq,Q5S007,44
483,RefSeq,P68400,44
484,RefSeq,NP_002244,44
485,RefSeq,3I06_A,44
486,RefSeq,AAI30323,44
487,RefSeq,NP_032451,44
488,RefSeq,XP_001348591,44
489,RefSeq,Q8TD08,43
490,RefSeq,P19969,43
491,RefSeq,P63138,43
492,RefSeq,P63079,43
493,RefSeq,P18508,43
494,RefSeq,P23576,43
495,RefSeq,P14867,43
496,RefSeq,O76074,43
497,RefSeq,NP_001243690,43
498,RefSeq,P28564,43
499,RefSeq,Q9BZL6,43
500,RefSeq,P51617,43
501,RefSeq,P36507,43
502,RefSeq,Q9NSY1,43
503,RefSeq,AAB64013,43
504,RefSeq,EAW91923,43
505,RefSeq,NP_001139412,43
506,RefSeq,NP_004242,43
507,RefSeq,NP_002559,43
508,RefSeq,P20236,42
509,RefSeq,P23574,42
510,RefSeq,Q62645,42
511,RefSeq,P47898,42
512,RefSeq,P33981,42
513,RefSeq,Q969S8,42
514,RefSeq,NP_000858,42
515,RefSeq,Q9H2K8,42
516,RefSeq,Q00536,42
517,RefSeq,P06213,42
518,RefSeq,Q13470,42
519,RefSeq,Q13546,42
520,RefSeq,CAA46986,42
521,RefSeq,NP_003271,42
522,RefSeq,NP_001001431,42
523,RefSeq,NP_000354,42
524,RefSeq,NP_001612,42
525,RefSeq,AAR07906,42
526,RefSeq,NP_057090,42
527,RefSeq,NP_001013728,42
528,RefSeq,NP_000262,42
529,RefSeq,Q07912,41
530,RefSeq,NP_000901,41
531,RefSeq,P28473,41
532,RefSeq,P15431,41
533,RefSeq,O09028,41
534,RefSeq,P18506,41
535,RefSeq,P30191,41
536,RefSeq,Q9ES14,41
537,RefSeq,P28471,41
538,RefSeq,Q91ZM7,41
539,RefSeq,Q00959,41
540,RefSeq,Q9UKV0,41
541,RefSeq,P06276,41
542,RefSeq,P78396,41
543,RefSeq,P15121,41
544,RefSeq,P35498,41
545,RefSeq,O95067,41
