rank,ID,SMILES,active_score,activity_level,toxicity_score,P_tox_high,toxicity_level,recommend_score
1429,TP1886L1,CC(=O)O.CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(N)=O)C(C)C,0.1347658458280544,中,0.402940551,0.3812363,低毒,0.08046322165411712
1430,T79145,Cn1cc(-c2ccnc3c2C(=O)OC3)c(-c2ccc(F)cc2)n1,0.20676824591957998,中,0.6108591299999999,0.47219163,毒,0.08046197510551932
1431,T10565,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cccc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C.Cl,0.1534268350013184,中,0.475734923,0.4154999,低毒,0.08043633146583248
1432,T29118,C[C@@H]1CN(c2cccnc2C#N)CCN1C(=O)C12CC3CC(CC(C3)C1)C2,0.21507276010249798,中,0.62604525,0.41787645,毒,0.08042748023593961
1433,T4453,CC(C)[C@H](/N=C(/NS(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1)C(N)=O,0.1969408218431178,中,0.59174909,0.3898529,低毒,0.08040126973360073
1434,T78389,O=c1c(Cc2ccccc2)nc2c(Cc3ccccc3)[nH]c(-c3ccccc3)cn1-2,0.18920588213426642,中,0.575179545,0.45894867,低毒,0.08037852893695543
1435,T14908,O=C1CCC(N2C(=O)c3cccc(OCCOCCOCCN4CCN(Cc5ccc6cc(C(=O)Nc7cc(NC(=O)c8ccc9c(c8)OCCO9)ccc7Cl)ccc6n5)CC4)c3C2=O)C(=O)N1,0.31281466233224997,高,0.74307657,0.3741862,毒,0.08036941600069344
1436,T37558,COc1ccc(-n2c(SCC#N)nc3sc4c(c3c2=O)CCCC4)cc1,0.247663604895156,中,0.67551814,0.42391244,毒,0.08036234717068533
1437,T60147,CC[C@@H](Nc1c(C#N)c(-c2ccc(-c3cccc(C)c3F)cc2)nc2cnccc12)C(=O)O,0.200747665980872,中,0.59975203,0.47487047,低毒,0.08034884579108208
1438,T5170,CC(C)CNc1ccnc(NCc2csc(-c3ccccc3)n2)n1.Cl,0.220711779006911,中,0.63601581,0.41117904,毒,0.08033559810528951
1439,T6155,CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1.Cl,0.1594167603574784,中,0.49662268,0.3902365,低毒,0.08024678159182973
1440,T9090,COc1cccc(OC)c1C(=O)N1CCC(c2nc(-c3ccc(C)cc3)no2)CC1,0.18364946275242,中,0.56328296,0.4060733,低毒,0.08020284977082712
1441,T18944,C#CCNC(=O)CCCCCN1C(=CC=CC2=[N+](CC)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,0.21922073698329703,中,0.63451315,0.4137903,毒,0.08012229661470374
1442,T72060,O=C(O)c1cccc(SCc2cccc(Nc3ncc4c(-c5ccc(N6CCOCC6)cc5)n[nH]c4n3)c2)c1,0.2630606436338,中,0.69542375,0.4411115,毒,0.08012202436056917
1443,T13365,CCN(CC)CC(=O)OC1CCN(c2ccc(/C=C(\C#N)c3ccc(OC)c(OC)c3)s2)CC1,0.176295081489935,中,0.54557554,0.39954838,低毒,0.08011279720671971
1444,T12146,N#Cc1ncc(N2C(=O)C3(CCC3)N(c3ccc(C(N)=O)c(F)c3)C2=S)cc1C(F)(F)F,0.30863138478816,高,0.7404355,0.3434655,毒,0.08010975107684634
1445,TN1352,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCc1cccc(OC)c1,0.14416590758267503,中,0.44445809999999997,0.34291294,低毒,0.08009020221370369
1446,T3543,Nc1nc2cc(C(F)(F)F)ccc2n1Cc1ccc(Cl)cc1,0.212040530986284,中,0.62236554,0.43742082,毒,0.08007381141711863
1447,T15480,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(/C=C/c4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1,0.3024858268848744,高,0.73544034,0.33743572,毒,0.08002554751548123
1448,T14355,O=C(NC1Cc2ccccc2C1)c1ccc2c(c1)OC(F)(F)O2,0.1455068728891802,中,0.450306996,0.3474861,低毒,0.07998411006109962
1449,T8751,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,0.19033373898887998,中,0.5798959800000001,0.39597046,低毒,0.0799599688908592
1450,T85334,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCN)C(C)(C)C)cc1.Cl,0.15634134710015998,中,0.48871869999999995,0.34477493,低毒,0.07993440718912104
1451,T64394,Cl.O=C(NCc1ccncc1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,0.18899528257869,中,0.57729741,0.3443877,低毒,0.07988879544379414
1452,T1773,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,0.190409297992137,中,0.58044086,0.39617255,低毒,0.07988796131358473
1453,T69567,C[C@@H]1C[C@H](N2C(=O)C[C@@](C)(c3cccc(NC(=O)c4cccc(C#N)c4)c3Cl)N=C2N)CCO1,0.26426400430452,中,0.6978019599999999,0.45563063,毒,0.07986006414337753
1454,TP2359,O=C(NC(Cc1c[nH]c2ncccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21,0.17004959039502718,中,0.53045931,0.4521239,低毒,0.07984520200829844
1455,T39214L,Cc1nc(C)c(C(=O)Nc2ccc(F)c(-c3nc4ncc(-c5ncccc5C)cn4n3)c2)o1.O=C(O)/C=C/C(=O)O,0.159617272902133,中,0.5000473599999999,0.40780225,低毒,0.07980107697702186
1456,T77574,O=C(CCN1CCN(c2ccc(F)cc2)CC1)N1CCc2c([nH]c3ccccc23)C1,0.21695683920995,中,0.63225535,0.4689928,毒,0.07978471690036934
1457,T2429,CS(=O)(=O)O.CS(=O)(=O)O.Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,0.20748635793377765,中,0.6156887799999999,0.4261701,毒,0.07973933535088679
1458,T8879,N#Cc1ccc(C(=O)N(Cc2cccs2)C2CC2)cc1,0.20800846037504,中,0.61682352,0.43593282,毒,0.07970394965672732
1459,T11374,Nc1ncc(C#Cc2c(F)ccc(NS(=O)(=O)c3cc(Cl)cc(CO)c3Cl)c2F)cn1,0.256925890379301,中,0.68978724,0.44820824,毒,0.07970168957002041
1460,T21853,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1,0.171561751851,中,0.53552018,0.3541466,低毒,0.07968697161863715
1461,T200964,COc1c(Cl)cccc1Nc1c(-c2ccncc2OC[C@@H]2COCCO2)[nH]c2c1C(=O)NCC2,0.21588967927208,中,0.63115666,0.4377911,毒,0.07962947037424274
1462,T7566L1,CC(=O)O.N=C(N)NCCC[C@H](NC(=O)CN)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)O,0.137100822449816,中,0.419332394,0.3953558,低毒,0.07961000635256571
1463,T18640,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCN)C(C)(C)C)cc1.Cl,0.1549218471317675,中,0.48633696000000004,0.34633592,低毒,0.07957762696011896
1464,T21768,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O.Cl,0.23218919222782497,中,0.65739312,0.38236102,毒,0.07954961471889535
1465,TP1606L,CC(=O)O.CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1)C(=O)O,0.13689887227009,中,0.41908900499999996,0.39739946,低毒,0.07952606010479589
1466,TP1782L,CC(=O)O.CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)CC,0.132821824332928,中,0.401328546,0.3778808,低毒,0.07951663469632658
1467,T14871,NC(=O)c1nnn(Cc2cc(Cl)c(C(=O)c3ccc(Cl)cc3)c(Cl)c2)c1N.O=C(O)c1cc(=O)[nH]c(=O)[nH]1,0.21532193338928998,中,0.63086277,0.50956637,毒,0.07948334204956702
1468,T17208,CC(C)N1CCC(N2CCCN(c3cccc(C(=O)Nc4ccncc4)n3)CC2)CC1,0.247974163745175,中,0.67953307,0.44217187,毒,0.07946751897473354
1469,T21470L,CC(=O)O.CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)N1CCCC1C(=O)N[C@@H](CCC(N)=O)C(=O)O,0.1294195046349114,中,0.386216233,0.36512992,低毒,0.07943559107808987
1470,T4105,Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,0.18859798158293747,中,0.57904372,0.36962834,低毒,0.07939150474266186
1471,T8986,C#Cc1ccc(NC(=O)c2cnn3c(C)cc(C)nc23)cc1,0.1884808885372335,中,0.57880656,0.38762867,低毒,0.07938691381725395
1472,T7362,O=C(Nc1nc(=O)n(Cc2ccc(Cl)cc2)s1)c1ccc(Cl)cc1,0.206859451617767,中,0.6162499,0.44257027,毒,0.07938233524426325
1473,TMID-0018,[2H]c1c([2H])c([2H])c(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccccc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)c([2H])c1[2H],0.1321997173198512,中,0.3996879,0.31557405,低毒,0.07936108992368625
1474,T2675,N#CC(c1ccnc(OCc2ccc(CN3CCOCC3)cc2)n1)c1nc2ccccc2s1,0.219615622284555,中,0.63881419,0.451355,毒,0.07932204642350106
1475,T7683,NCCNC(=O)Cc1ccc(NC(=O)Cc2ccc(Nc3ncnc4c3ncn4C3OC(CO)C(O)C3O)cc2)cc1,0.2946833069579064,中,0.73094064,0.35398182,毒,0.07928730197277783
1476,T25393,CCS(=O)(=O)c1ccc(/C=C(\C)c2ccc3c(c2)C(C)(C)CCC3(C)C)cc1,0.186954519828748,中,0.57590138,0.39738104,低毒,0.07928715386213465
1477,T5341,CCOC(=O)c1cnc(C#Cc2ccc3c(c2)C(C)(C)CCS3=O)nc1,0.2274253979998,中,0.65157947,0.47377232,毒,0.07923967770655124
1478,T21584,CCN(CC)Cc1cccc(C=Cc2nc3ccc(F)cc3c(=O)n2-c2ccccc2Cl)n1,0.26411880648292,中,0.70002597,0.44678622,毒,0.07922878277947165
1479,T3189,Cn1ncc2c3[nH]n(-c4ccc(F)cc4)c(=O)c3c(-c3cccc(C(F)(F)F)c3)nc21,0.204417863862751,中,0.61299366,0.4717065,毒,0.07911100932414153
1480,T11101,CC1(C)N=C(C2CCCCC2)c2ccc(C#N)cc2N(c2ccc(NCCNC3CCOCC3)cc2)C1=O,0.3021402388502688,高,0.73817289,0.45652503,毒,0.07910850555287562
1481,T83168,Cc1cccc(COc2ccc(Sc3ccoc3C3NC(=O)NC3=O)cc2)c1,0.18840745984063198,中,0.58032807,0.40945262,低毒,0.07906932229771552
1482,T36687,COc1ccc(C(OCC2OC(n3ccc(NC(C)=O)nc3=O)C(O[Si](C)(C)C(C)(C)C)C2OP(OCCC#N)N(C(C)C)C(C)C)(c2ccccc2)c2ccc(OC)cc2)cc1,0.32768754763008,高,0.75877087,0.4016655,毒,0.07904778202663777
1483,T3105,O=C(/C=C/c1ccc2ccc(C(F)(F)F)cc2n1)c1ccncc1,0.185929891820544,中,0.57490932,0.38732105,低毒,0.0790370641463215
1484,T12856,N#CC(CCCN1CCN(N=Cc2cccnc2)CC1)(c1ccccc1)c1ccccc1,0.26966865431808,中,0.7070508,0.4695955,毒,0.0789992165475581
1485,T69360,O=C(N[C@H](Cc1ccc(F)cc1)C(=O)O)OCc1cc2cc(-c3ccc(F)cc3)ccc2o1,0.148474983343293,中,0.4679898,0.38080093,低毒,0.07899020558346198
