ID,SMILES,P_act,STRENGTH,P_tox_0,P_tox_1,P_tox_2
T81038L,CC(=O)O.CC[C@H](C)[C@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CN)C(C)C)C(=O)O,0.45320985,0.4508483,0.6868247,0.027911942,0.28526333
T75131,CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)N1CCOC(CC(NC(=O)C(C(C)C)N(C)C(=O)C3(F)CCN(C(=O)C#CC(C)(C)N(C)C)CC3)C(=O)N3CCCC(N3)C(=O)OCC(C)(C)C2)C1,0.83044505,0.3768889,0.38297093,0.22923967,0.38778943
T21823,CC(=O)Oc1ccccc1C(=O)NCC[Se]C#N,0.8112929,0.08635063,0.13366295,0.039610896,0.8267262
T69647,O=C(CCCCCCCCCc1ccccc1)O[C@H](CBr)COP(=O)(O)O,0.47438422,0.16799998,0.6153763,0.009344828,0.3752788
T70008,CN1CCN(C(=O)[C@H](CCCN[C@@H]2C[C@H]2c2ccc(F)cc2)NC(=O)c2ccc(-n3ccnn3)cc2)CC1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1,0.85906786,0.34194955,0.4047716,0.24161981,0.35360855
T75255,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,0.91029274,0.3165843,0.4757912,0.21344861,0.31076023
T78875,Cc1nn(-c2nc(-c3ccc(C(F)(F)F)cc3)c(SC(C)C)s2)c(C(=O)O)c1-c1cccc(F)c1,0.8849902,0.2546874,0.4252424,0.13671768,0.43803996
T79455,O=c1c2c(O)c(O)c(O)cc2nc(-c2ccccc2)n1-c1ccccc1,0.8785153,0.1349226,0.24639483,0.07917283,0.67443234
T21655,CC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],0.7570997,0.025144694,0.031353522,0.00089459395,0.9677519
T84322,Cc1ccc(NC(=S)NC(=O)c2ccccc2[N+](=O)[O-])cc1,0.7217496,0.16088936,0.22735955,0.085924245,0.68671614
T18680L,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCCCCC#Cc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)c3cc4cc(C(F)(F)P(=O)(O)O)ccc4[nH]3)C(=O)N21)C(=O)NC(c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F,0.8158012,0.39813942,0.59516823,0.16161858,0.2432132
T67768,O=C(O)c1cc(-c2ccco2)ccc1O,0.7629962,0.05436624,0.1534929,0.008709465,0.83779764
T23264L,Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc21,0.83672065,0.3053913,0.38150766,0.20785552,0.41063687
T84320,C[C@@H]1CN(C[C@@H](c2cccc(OC(F)(F)F)c2)C2(O)CCCCC2)C[C@H](C)N1,0.71468633,0.19116859,0.48280382,0.072383165,0.44481295
T77337,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,0.86815727,0.2702711,0.41497302,0.20957057,0.37545648
T84368,Cc1ccc(N2CCNCC2)c(S(=O)(=O)O)c1.Cl,0.5623117,0.08259131,0.20347194,0.015219151,0.78130895
T77583,O=C(O)C(F)(F)F.O=[N+]([O-])c1ccc(C2NCCc3cc(O)c(O)cc32)cc1,0.62435204,0.12812375,0.470179,0.028096277,0.5017247
T67689,O.O.O.O.O.O.O=[N+]([O-])c1ccc(OP(=O)([O-])[O-])cc1.[Na+].[Na+],0.4729318,0.028545083,0.24314971,0.0011722791,0.75567806
T41340,Cc1c(COC(=O)[C@@H]2[C@H](/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,0.7976169,0.25858086,0.4712545,0.17215468,0.35659087
TN1492,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0.43423504,0.14566213,0.5962387,0.030285079,0.37347627
TN1606,Oc1ccc([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc1,0.74010986,0.08195135,0.27883178,0.043138973,0.67802924
TN1906,CC1OC(OC2C(OCCc3ccc(O)c(O)c3)OC(CO)C(O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O,0.5276927,0.10687201,0.3808465,0.047265872,0.5718876
T12061,Cc1sc(C)c(C(=O)NC2(c3ccc(C(=O)O)cc3)CC2)c1Cc1ccc(C(F)(F)F)cc1,0.89815146,0.26115084,0.52187884,0.10922094,0.36890027
T15134,Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1,0.84824675,0.21885772,0.48797816,0.1475615,0.3644603
T15442,COc1c(C)cc(NC(=O)c2nn(Cc3ccc(F)cc3)c3c2CN(C(=O)c2ccc[nH]2)C[C@]3(C)C(N)=O)cc1C,0.9259493,0.29805213,0.4641066,0.2261027,0.30979073
T11742L,COc1cc(/C=C/CCCN2CCCN(CCC/C=C/c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC.Cl.Cl,0.5150465,0.12363572,0.30029544,0.033644207,0.6660604
T16120,CO[C@H](c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12)[C@@H](C)OC,0.8072826,0.1987034,0.37402365,0.12317906,0.5027973
