ID,SMILES,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Active_Targets,Active_Accessions
TN9194,CCOc1ccc(C=O)cc1,PPARA,0.7188,活性,毒性,,
T5057,NC(COP(=O)(O)O)C(=O)O,AOC3,0.7183,活性,低毒性,134391,Q8TDV0
T9404,O=[N+]([O-])c1c(Br)sc(Br)c1[N+](=O)[O-],THRB,0.7168,活性,低毒性,3064,P42858
TN7222,COc1ccc(C(C)=O)c(OC)c1OC,AOC3,0.7163,活性,毒性,,
TN9522,Cc1ccc2ccccc2c1O,FASN,0.7163,高活性,低毒性,282022;282023;25290,O62698;O62664;P12527
T19165,Nc1nc(=O)c2[nH]c(=O)[nH]c2[nH]1,PPARD,0.7158,活性,低毒性,81285,Q9H255
T65780,Cc1cccnc1N,SCD,0.7158,活性,低毒性,4843;4842;4846,P29474;P35228;P29475
T7125,CCCCc1ccc(O)cc1O,AOC3,0.7144,高活性,低毒性,22178;7299,O42713;P14679;C7FF05;C7FF04;P07147;Q00024
T2936,COc1cc(O)cc(OC)c1OC,THRSP,0.7144,活性,低毒性,7421;65975;10413;2597,NP_002037;CAC29064;NP_001017535;NP_001123617
T22986,O=C(O)c1n[nH]c2c1C[C@H]1C[C@@H]21,THRSP,0.7144,活性,低毒性,6532,P31645;Q8TDS4
T40753,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,SCD,0.7139,活性,低毒性,,NP_113868;2AD5_A;1WVC_A;O39930;2AD5_B
T12886,C[C@H]1CCCN1Cc1nc2ccc(NC(=O)c3ccc4c(cnn4C)c3)cc2[nH]1,PPARG,0.7134,活性,毒性,4298;4300,Q03111;P42568
T5912,Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)nc1N,THRSP,0.7129,活性,低毒性,,P0DMS8
T7641,OCCc1c[nH]c2ccc(O)cc12,PPARA,0.7124,活性,低毒性,3358,P28335
T77349,Cc1cccc2c(C=O)c[nH]c12,AOC3,0.7119,活性,低毒性,8805;51592,Q9UPN9;O15164
TN7032,COCc1c(CO)cnc(C)c1O,FASN,0.7119,活性,低毒性,8566,4EN4_A;O00764
TN9186,CC1=CC(=O)C(C)=C(C)C1=O,RXRG,0.7119,活性,毒性,,
T9160,Oc1cccc2c(Cl)ccnc12,THRSP,0.7119,活性,低毒性,,
T38239,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2F)c(=O)[nH]1,XPR1,0.7119,活性,低毒性,,
T38136,CC(=O)c1cc(O)cc(O)c1,PPARG,0.7114,活性,低毒性,763,P35218
T19382,Nc1nc(=O)[nH]c2nc[nH]c12,SCD,0.7104,活性,低毒性,948792,P26281
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,PPARG,0.71,高活性,毒性,31;6850;60581;1551;32,1W2X_A;Q13085;P11497;ABI96208;1W2X_B;O00763;NP_000756;Q1HEC0;P43405
T203876,CC(C)SSC(C)C,PPARG,0.71,活性,毒性,,
T2192,c1ccc2[nH]ncc2c1,THRSP,0.709,活性,低毒性,3320,2VTA_A;P07900
T5408,CNC(=O)COc1cc2cc(Nc3nc(N4C[C@H](C)C[C@H](C)C4)ncc3Cl)ccc2n(C)c1=O,PPARG,0.7085,活性,低毒性,604;3357;9833,P41595;Q14680;P41182
T60343,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,AOC3,0.708,活性,低毒性,1890;948901,P19971;P07650
TMO2752,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,RXRA,0.708,活性,毒性,,
T8105,O=Cc1c[nH]c2ccccc12,AOC3,0.7075,活性,低毒性,1812,NP_000785
T25102,CNC(=S)[C@]1(c2cccnc2)CCCC[S@]1=O,ACACA,0.7061,活性,低毒性,,
TN9417,CC1Cc2ccccc2C1=O,RXRG,0.7056,活性,低毒性,43,P22303
T60106,CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C1=O,ACACA,0.7051,活性,低毒性,,
T124532,CCCc1ccccn1,THRSP,0.7051,活性,低毒性,25102;171131;25103;25590;170945;25302;64574;54239;81721;25101;65024,P43143;P12389;P12390;P43144;Q9JLB5;P12391;P12392;Q05941;P04757;P20420;P09483
T7483,COc1ccc(Br)c(C=O)c1O,PPARD,0.7046,活性,低毒性,2081,O75460
TN9663,O=Cc1cnccn1,THRSP,0.7041,活性,低毒性,,
T19758,C[C@@H](N=C=S)c1ccccc1,FASN,0.7031,活性,低毒性,4282,P14174
T21969,CCc1nccn1CC(=O)c1ccc(O)c(O)c1.Cl,THRSP,0.7026,活性,低毒性,251;249,NP_000469;NP_112603
TN9425,COc1cc(O)c(C=O)c(OC)c1,PPARD,0.7021,活性,毒性,2081,O75460
TN9374,c1cc2c(cn1)CCCC2,THRSP,0.7017,活性,低毒性,10280,Q99720
T39318,CC(N)Cc1cccc(C(F)(F)F)c1,PPARA,0.7012,活性,低毒性,3357,NP_000858
T5658,C1C2CC3CC1CC(C2)C3,THRSP,0.7002,活性,毒性,,
T2366,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,THRSP,0.6997,活性,低毒性,1890;948901,P19971;P07650
T13857,C1=CCC(c2cccnc2)NC1,THRSP,0.6997,活性,低毒性,,
T4675,O=C(O)c1cnsc1,THRB,0.6992,活性,低毒性,338442,Q8TDS4
T32105,CC(C)c1cccc([C@H](C)C2CC2)c1O,NR1H3,0.6987,活性,低毒性,,
T39161,C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21,THRSP,0.6987,高活性,低毒性,3358;3357;3356;25187,P08909;P41595;NP_000858;P28335;P28223;NP_001159419;NP_001243690
T8731,O=C1Cc2cc(Nc3nc(NCc4cccnc4)ncc3Cl)ccc2N1,AOC3,0.6982,活性,低毒性,604,P41182
T87051,Cc1cccc(Nc2nc(C(C)(C)C)cs2)c1C,PPARG,0.6982,活性,低毒性,1233,P51679
T67797,Nc1ccn([C@@H]2O[C@H](CO)C[C@@H]2F)c(=O)n1,THRSP,0.6978,活性,低毒性,,Q72547
T4307,O=C1CC(c2c[nH]c3ccc(F)cc23)C(=O)N1,FASN,0.6968,活性,低毒性,15930;3620,P14902;P28776;NP_002155
T17243,Cc1csc(N(C(=O)CSc2ccc(-c3ccccc3)nn2)C2CC2)n1,PPARG,0.6968,活性,低毒性,115;57468;1559;2876;1551,Q9H2X9;O60503;ABI96208;QLI62812;NP_000756;P07203
T7607,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O,THRSP,0.6968,活性,低毒性,,
T22361,Cc1cccc(C)c1NC(=O)C1CCCCN1C,ACACA,0.6963,活性,毒性,1565,ANW61984
T8309,CC(C)C(=O)OC[C@H]1O[C@@H](n2ccc(=NO)[nH]c2=O)[C@H](O)[C@@H]1O,PPARA,0.6963,活性,毒性,,P0DTD1
T4854,CC(=O)CC(=O)[O-].[Li+],THRSP,0.6963,活性,低毒性,,B2GV46
T8760,C[n+]1cccc2c(N)cccc21.[I-],SCD,0.6958,活性,低毒性,,
T50098,O=c1[nH]c2sccc2c2ccccc12,FASN,0.6953,活性,低毒性,142;165631;286764;8658;80351;11546,O88554;Q9H2K2;Q460N3;P09874;P18493;O95271
T66491,CC(c1ccccc1)c1ccc(O)cc1O,NR1H3,0.6953,活性,低毒性,,O42713;C7FF05;C7FF04;Q00024
T11571,CCc1cccc2c1N(C)Cc1cc3c(cc1-2)OCO3,PPARG,0.6948,活性,低毒性,113580815,O42275
T60330,CNC1Cc2ccccc2N(C)c2ccccc21,ACACA,0.6943,活性,低毒性,150;148;3757;3269;3357,Q12809;P08913;P41595;P35348;P35367
T0565,Cl.ClCCNCCCl,FASN,0.6943,活性,低毒性,,
T9032,O=C(CSc1ncn[nH]1)Nc1ccc(C23CC4CC(CC(C4)C2)C3)cc1,PPARG,0.6934,活性,低毒性,8463,Q15561;Q15562
T5688,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(O)[C@@H]12,SCD,0.6934,活性,毒性,216799;3553;5315,P14618;Q8R4B8;Q96P20;NP_000567
T77700,CCCCn1sc2ccccc2c1=O,PPARA,0.6929,活性,低毒性,,
T7524,CNC(=S)NCCSCc1[nH]cnc1C,NR1H3,0.6919,活性,低毒性,25461;100729734,P25102;NP_037097;P47747
T64866,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,ACACA,0.6895,活性,低毒性,60577,Q63424
TQ0300,O[C@H]1[C@H](O)[C@@H](O)[C@@H]2O[C@@H]2[C@@H]1O,AOC3,0.6895,活性,低毒性,2629;14466,P17439;P04062
TN1637,CC1=CC(=O)[C@@H](O)[C@@]2(C)[C@H]1CC(=O)[C@@]1(C)[C@H]3C(=O)O[C@H]([C@@H]3C)[C@H](O)[C@@H]12,NR1H3,0.6895,活性,毒性,,
T1897,O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,NR1H3,0.6895,活性,低毒性,2203;2840;767613;24411;24409;397038;24408;170796;574402;191573;24412;24410,Q9R1M7;Q6NS65;Q13304;P09467;Q09QM4;Q00959;Q8VHN2;P00636;1LEV_A;Q00960;P35439;Q00961;Q62645
T7535,N=C(N)NCCC(=O)O,THRSP,0.6885,高活性,低毒性,25451;29707;140674;289606;140675;29708;79211;65191;29705;29709;81658;24947;24922;29689;25450,P28473;P15431;P19969;P62813;P63138;P63079;O09028;P18506;P30191;P18508;Q9ES14;P20236;P28471;P23574;P23576;Q91ZM7
T6536,Cc1cc(C)c(S(=O)(=O)n2cc(C)cc2C)c(C)c1,PPARG,0.688,活性,低毒性,4837;2593;27232;11069;5409;3176,Q8WZA2;Q14749;P40261;P21964;P11086;Q14353;P50135
T9583,CC(=O)N1c2ccccc2Oc2ccccc21,FASN,0.6875,活性,低毒性,,
T3622,Cl.O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,GPAM,0.687,活性,低毒性,,
T26193,O=C(CSc1nc2ccc(NC(=O)CCl)cc2s1)NCc1ccccc1,PPARG,0.687,活性,毒性,,
TQ0162,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,THRSP,0.687,活性,低毒性,,Q72874
T23248,CCCCOC(=O)NC(=O)C1c2ccccc2Oc2ccccc21,GPAM,0.6865,活性,低毒性,24414,NP_001107802
T7500,c1cnoc1,AOC3,0.686,活性,低毒性,,P09874
T37981,Cc1cc(C)c(C=O)c(C)c1,FASN,0.686,活性,低毒性,8856,ADZ17384
TN2755,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3CC[C@H](O)[C@@]3(C)C[C@H]12,NR1H3,0.686,活性,毒性,,
