name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target
T8899,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,309.41,2.27,67.8,2,5,7,0,0.1618,BI-1467335,AOC3/VAP-1
T12361,CC(=O)Nc1ccc(OC2(C)OC(=O)c3ccccc3O2)cc1,313.31,2.95,73.9,1,5,3,0,0.1618,BI-1467335,AOC3/VAP-1
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,384.44,4.09,58.6,1,4,6,0,0.1618,BI-1467335,AOC3/VAP-1
T26829,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,337.42,3.93,60.2,1,4,5,0,0.1618,BI-1467335,AOC3/VAP-1
T10244,O=C(NO)c1cnc(NC2(c3ccccc3)CCC(F)(F)CC2)nc1,348.35,3.11,87.1,3,5,4,0,0.1618,BI-1467335,AOC3/VAP-1
T24793,O=C(Nc1ccc(O)c(C(=O)O)c1)c1ccc(NC(=O)c2ccco2)cc1,366.33,3.19,128.9,4,5,5,0,0.1618,BI-1467335,AOC3/VAP-1
T77753,CC(=NNC(=O)c1cccc(Br)c1)c1ccccn1,318.17,3.0,54.4,1,3,3,0,0.1618,BI-1467335,AOC3/VAP-1
T1961,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,462.55,2.5,92.7,1,8,4,0,0.1616,Denifanstat (TVB-2640),FASN
T1998,N#CN/C(=N\c1ccncc1)NCCCCCCOc1ccc(Cl)cc1,371.87,4.02,82.3,2,4,9,0,0.1616,Cilofexor (GS-9674),FXR
T2706,COc1ccc(COc2cc3oc(=O)c4cc(C(C)O)ccc4c3cc2OC)cc1,406.43,4.6,78.1,1,6,6,0,0.1616,VK2809,THR-beta
T4138,COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2cccc4ccccc24)C3)cc1,422.48,5.06,85.3,1,5,3,1,0.1616,Denifanstat (TVB-2640),FASN
T6032,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2,492.0,5.53,92.4,2,6,4,1,0.1616,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T6331,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,448.89,5.87,76.1,2,5,7,1,0.1616,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T6939,O=C(/C=C/N1C[C@H]2C[C@@H]1CN2c1ccccn1)c1ccccc1O,321.38,2.45,56.7,1,5,4,0,0.1616,Cilofexor (GS-9674),FXR
T2S2295,[H][C@@]1(O[C@H]2CC[C@@]3(C)[C@]([H])(CC[C@]4([H])[C@]3([H])CC[C@@]3(C)[C@@]4([H])C[C@]4([H])O[C@]5(CC[C@H](C)CO5)[C@@H](C)[C@]34[H])C2)O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,578.79,3.62,117.8,4,8,3,1,0.1616,Obeticholic acid (OCA),FXR
T7581,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,337.38,3.62,77.2,1,5,6,0,0.1616,VK2809,THR-beta
T12345,CCN(CC)c1ccc(-c2nc3cc(C(=O)NC)ccc3n2Cc2ccn(CC)n2)cn1,431.54,3.57,80.9,1,5,8,0,0.1616,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T14909,Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1,495.87,4.37,117.7,2,6,5,0,0.1616,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T9459,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,414.33,2.91,53.1,0,4,4,0,0.1616,VK2809,THR-beta
T17186,Cc1c(S(=O)(=O)Nc2ccc(-c3nc(C(=O)O)cs3)cc2S(C)(=O)=O)sc2ccc(F)cc12,526.61,4.37,130.5,2,8,6,1,0.1616,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T22810,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,414.33,2.91,53.1,0,4,4,0,0.1616,VK2809,THR-beta
T12531,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,388.43,2.45,98.7,1,5,4,0,0.1616,Denifanstat (TVB-2640),FASN
T73560,CC(C)c1ccccc1-c1ncc2[nH]c(=O)n(Cc3ccc(-c4nc(C(F)(F)F)cn4C)cc3)c2n1,492.51,5.38,81.4,1,4,5,1,0.1616,Resmetirom,THR-beta
T77761,Cn1c(=O)c([N+](=O)[O-])c(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c2nc(C#N)ccc21,516.51,3.9,108.3,0,7,5,1,0.1616,Denifanstat (TVB-2640),FASN
T20620,CCSC(C)CC1CC(=O)C(/C(CC)=N/OC/C=C/Cl)=C(O)C1,359.92,4.84,58.9,1,5,9,0,0.1616,VK2809,THR-beta
T81289,CNC(=O)c1ccc(NCC#Cc2cc3c(N[C@@H]4CCN(C)C[C@@H]4F)cccc3n2CC(F)(F)F)c(OC)c1,545.58,4.49,70.6,3,5,7,1,0.1615,Firsocostat (GS-0976),ACC
T0683,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,390.52,3.95,72.8,1,5,6,0,0.1613,Obeticholic acid (OCA),FXR
T1617,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,359.4,2.32,65.8,1,4,4,0,0.1613,Denifanstat (TVB-2640),FASN
T1909,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,363.8,5.35,62.3,2,3,3,1,0.1613,VK2809,THR-beta
T1980,CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC,409.24,2.36,111.6,1,7,5,0,0.1613,Denifanstat (TVB-2640),FASN
T1988,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,416.87,4.48,88.5,2,5,4,0,0.1613,Resmetirom,THR-beta
T2106,CN1CCN(Cc2ccc(NC(=O)Cc3ccc(Oc4cc(NC(=O)C5CC5)ncn4)cc3)cc2C(F)(F)F)CC1,568.6,4.56,99.7,2,7,9,1,0.1613,BI-1467335,AOC3/VAP-1
T2281,CONC(=O)c1ccccc1Nc1cc(Nc2cc(C)nn2C(C)C)ncc1Cl,414.9,4.6,93.1,3,6,7,0,0.1613,Resmetirom,THR-beta
T2358,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,375.48,3.17,73.0,2,6,5,0,0.1613,Denifanstat (TVB-2640),FASN
T4338,CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1,484.41,5.13,99.9,1,7,5,1,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T6950,COc1cc(OC)c(NC(=O)Nc2cc(C)on2)cc1Cl,311.73,3.3,85.6,2,5,4,0,0.1613,Cilofexor (GS-9674),FXR
T7642,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,342.44,3.48,62.4,1,3,6,0,0.1613,Denifanstat (TVB-2640),FASN
T7703,Cc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,427.87,2.66,114.8,1,8,5,0,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T17258,CCNS(=O)(=O)c1ccc(COc2ccc3nc4ccc(=O)cc-4oc3c2)cc1,410.45,3.17,98.5,1,6,6,0,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
TN6909,C=C(C[C@@H](O)[C@](C)(O)[C@H]1CC[C@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C)C(C)C,476.65,2.91,118.2,5,6,5,0,0.1613,Obeticholic acid (OCA),FXR
T9742,C=CCn1c(N[C@@H]2C[C@H](c3ccc(OCc4ccccc4)cc3)CN(C)C2)nc2cc[nH]c2c1=O,469.59,4.39,75.2,2,5,8,0,0.1613,Firsocostat (GS-0976),ACC
TQ0103,CCO[C@@H]1CN([C@H]2CC[C@](O)(c3ccc4c(c3)OCO4)CC2)C[C@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1,577.6,3.2,109.4,3,7,8,1,0.1613,Cilofexor (GS-9674),FXR
T22022,Oc1cccnc1NC(c1ccc(Cl)cc1)c1ccc2cccnc2c1O,377.83,4.9,78.3,3,5,4,0,0.1613,VK2809,THR-beta
T60004,CS(=O)(=O)NCC1CCCN(c2ncnc3ccc(C(F)(F)F)cc23)C1,388.42,2.41,75.2,1,5,4,0,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T60144,O=C(/N=c1\scc(CO)n1Cc1ccccc1)c1c[nH]c2ncccc12,364.43,2.71,83.3,2,4,4,0,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T64326,O=C(C[C@H](NC(=O)OCc1ccccc1)C(=O)O)OCc1ccccc1,357.36,2.5,101.9,2,5,8,0,0.1613,BI-1467335,AOC3/VAP-1
T60757,COc1ccc2c(c1)NC(=O)CN2c1nc(C)nc2c1CCC2,310.36,2.37,67.3,1,5,2,0,0.1613,Denifanstat (TVB-2640),FASN
T11129L,C[C@@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,416.87,4.48,88.5,2,5,4,0,0.1613,Resmetirom,THR-beta
T64394,O=C(NCc1ccncc1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,407.78,4.22,79.8,2,5,5,0,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T26873,[H][C@]12CCC[C@@H](C)N1CC[C@H](NC(=O)c1cc(Cl)c(N)cc1O)C2,337.85,2.76,78.6,3,4,2,0,0.1613,Denifanstat (TVB-2640),FASN
T39321,CCOCc1cnc(Cl)nc1Oc1ccc2c(ccc3sc4c(c32)NC[C@@H](C)NC4=O)n1,469.95,4.77,98.3,2,8,5,0,0.1613,Firsocostat (GS-0976),ACC
T24948,CCC(=O)N1c2ccc(S(=O)(=O)Nc3cccc(OC)c3)cc2CC1C,374.46,3.18,75.7,1,4,5,0,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T84916,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,411.89,3.41,56.8,1,4,10,0,0.1613,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta
T63624,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2[C@@H](NC(=O)C1(O)CC1)CC3,519.53,2.16,130.8,3,7,3,1,0.1613,Cilofexor (GS-9674),FXR
