name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,ref_drug,ref_target,similarity,dili_prob,dili_risk
T61278,CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc([N+](=O)[O-])cc1,356.33,2.56,124.9,2,7,4,0,Obeticholic acid (OCA),FXR,0.1011,0.9105,High
T7522,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)[C@H](C)N(O)C=O)C(C)(C)C,391.51,2.14,98.7,3,4,10,0,Obeticholic acid (OCA),FXR,0.1011,0.4384,Low
T7558,CC1(C)Cc2c(sc(NC(=S)NC(=O)c3ccccc3)c2C(=O)O)CO1,390.49,3.42,87.7,3,5,3,0,Obeticholic acid (OCA),FXR,0.1011,0.9909,High
T36832,CCc1c(C)nc(-c2ccc(Cl)s2)nc1Nc1ccc(CC(=O)O)cc1,387.89,5.1,75.1,2,5,6,1,Obeticholic acid (OCA),FXR,0.1011,0.9605,High
T8450,O=C(CSc1nnc(NCc2ccccc2)s1)NCC1CCCCC1,376.55,3.94,66.9,2,6,8,0,Obeticholic acid (OCA),FXR,0.1011,0.6185,High
TN1828,C[C@@]12C=Cc3occc3[C@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](O)(CO)C3,314.43,3.72,53.6,2,3,1,0,Obeticholic acid (OCA),FXR,0.1011,0.1162,Low
T41190,NC(=O)[C@@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccno1)C1CCCCC1,404.51,2.29,127.3,3,5,8,0,Obeticholic acid (OCA),FXR,0.1011,0.4578,Low
T28918,COc1ccc2c(c1)N(C(=O)OC(C)C)[C@@H](CSC)C(=S)N2,340.47,3.53,50.8,1,5,4,0,Obeticholic acid (OCA),FXR,0.1011,0.888,High
T6300,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,384.28,4.41,65.8,1,3,6,0,Obeticholic acid (OCA),FXR,0.1011,0.8509,High
T1095,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,392.41,2.08,100.6,3,5,3,0,Obeticholic acid (OCA),FXR,0.1011,0.8373,High
TN1390,C/C=C(/C)C(=O)OC1c2cc(OC)c(OC)c(OC)c2-c2c(cc(OC)c(OC)c2OC)CC(C)C1(C)O,530.61,4.9,101.9,1,9,8,1,Obeticholic acid (OCA),FXR,0.1011,0.9271,High
T15430,CNc1nc(C)nc(N[C@H]2CCC[C@@H](C(=O)NCc3ccc(C#N)cc3C(F)(F)F)C2)n1,447.47,3.4,115.6,3,7,6,0,Obeticholic acid (OCA),FXR,0.1010,0.7298,High
T17255,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCCc2ccccc2)c1,460.6,5.23,58.6,1,4,9,1,Obeticholic acid (OCA),FXR,0.1010,0.8483,High
T78207,CCOC(=O)c1cnc2[nH]ccc2c1N[C@@H]1CCCN(C(=O)CC#N)C1,355.4,2.06,111.1,2,6,5,0,Obeticholic acid (OCA),FXR,0.1010,0.8266,High
T17239,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,462.98,4.59,70.1,2,3,5,0,Obeticholic acid (OCA),FXR,0.1010,0.6954,High
T16481,OC1(CN2CCC(COc3noc4cccc(O[C@@H]5CCOC5)c34)CC2)CCOCC1,432.52,2.63,86.4,1,8,7,0,Obeticholic acid (OCA),FXR,0.1010,0.3029,Low
T14365,CC(C)Cn1cc(C#N)c2cc(Oc3ccc(NC(=O)[C@@H]4CCCN4)cc3)ccc21,402.5,4.65,79.1,2,4,6,0,Obeticholic acid (OCA),FXR,0.1010,0.9039,High
T68139,COc1cc2c(cc1C(=O)N1CCC(Cc3ccc(F)cc3)CC1)c(C(=O)C(=O)N(C)C)cn2C,479.55,3.69,71.9,0,4,6,0,Obeticholic acid (OCA),FXR,0.1010,0.9187,High
T13374,COc1cc2c(cc1OC)CN(C(=O)[C@@H]1CCCN(CCNC(=O)c3ccc(F)cc3)C1)CC2,469.56,2.87,71.1,1,5,7,0,Obeticholic acid (OCA),FXR,0.1010,0.4301,Low
T6067,Cc1cc(Cn2cnc3c2C[C@@H](C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N(C)C,508.62,4.48,78.7,1,4,7,1,Obeticholic acid (OCA),FXR,0.1010,0.939,High
T28223,CCOC(=O)c1c(-c2ccccc2)oc2ccc(Oc3c([N+](=O)[O-])ncn3C)cc12,407.38,4.71,109.6,0,7,6,0,Obeticholic acid (OCA),FXR,0.1010,0.9918,High
T124192,[H][C@@]12/C=C(\C)[C@H](OC(C)=O)C[C@@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)[C@H](OC(C)=O)[C@@]1(O)C[C@H](C)[C@@H]2OC(=O)c1ccccc1,584.71,4.96,125.4,1,9,5,1,Obeticholic acid (OCA),FXR,0.1010,0.3213,Low
T83629,Cc1c(C(=O)Nc2c(C)n(C)n(C3CCCCC3)c2=O)noc1[C@@H]1OCC(C)(C)O[C@H]1C,446.55,3.8,100.5,1,6,4,0,Obeticholic acid (OCA),FXR,0.1010,0.9535,High
T73049,CCS(=O)(=O)Nc1ccc2c(c1)C1(CCC3(CC3)CC1)CN2C(=O)c1cccc(S(=O)(=O)NC(C)(C)C)c1,559.75,4.78,112.7,2,5,6,1,Obeticholic acid (OCA),FXR,0.1010,0.6715,High
T0331,[H][C@@]12CCCN[C@]1([H])CN(c1c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c1OC)C2,401.44,2.37,83.8,2,5,4,0,Obeticholic acid (OCA),FXR,0.1010,0.7225,High
T0331L,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,401.44,2.37,83.8,2,5,4,0,Obeticholic acid (OCA),FXR,0.1010,0.7225,High
T63727,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2nc(N)c(C(=O)c3c(F)cc(CN(C)C)cc3F)s2)CC1,529.68,3.59,117.4,3,8,10,1,Obeticholic acid (OCA),FXR,0.1010,0.7647,High
TQ0196,[H][C@@]12CC=C3C(C)(C)C(=O)C(O)=C[C@@]3([H])[C@]1(C)C(=O)C[C@]1(C)[C@@H]([C@@](C)(O)C(=O)/C=C/C(C)(C)O)[C@H](O)C[C@@]21C,514.66,3.62,132.1,4,7,4,1,Obeticholic acid (OCA),FXR,0.1010,0.254,Low
T27087,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC2COC3(CCN(c4ccc(Cl)cc4)CC3)O2)C1c1cccc([N+](=O)[O-])c1,598.05,4.61,129.5,1,10,7,1,Obeticholic acid (OCA),FXR,0.1009,0.9627,High
T15815,Cc1cc(Nc2ccc(F)c(C[C@@]3(C(=O)O)CCN(Cc4cccc(Cl)c4F)[C@H](C)C3)n2)n[nH]1,489.95,5.09,94.1,3,5,7,1,Obeticholic acid (OCA),FXR,0.1009,0.754,High
T11648,COc1ccc([C@]2(O)CC[C@H](N3CC[C@@H](NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,520.55,2.86,103.8,3,6,7,1,Obeticholic acid (OCA),FXR,0.1009,0.2011,Low
T21325,CCc1cc2c(c(OCC(F)(F)F)c(C(=O)NC3CCN(C(=O)CO)CC3)n2C)c(=O)n1CC(=O)c1ccccc1,576.57,2.44,122.9,2,6,9,1,Obeticholic acid (OCA),FXR,0.1009,0.9615,High
T30258,CNC(=O)c1cc(Cl)c(OC(C)(C)C(=O)O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,567.47,3.8,117.6,3,7,9,1,Obeticholic acid (OCA),FXR,0.1009,0.4977,Low
T3494,COC(=O)c1ccc(O)c(NC(=O)COc2ccc(C3C4CC5CC(C4)CC3C5)cc2)c1,435.52,4.74,84.9,2,5,6,0,Obeticholic acid (OCA),FXR,0.1000,0.8241,High
T3715,[H][C@]12CN(Cc3ccc(C(=O)O)cc3)[C@]([H])(CN1Cc1ccc(Oc3ccc(-c4ncco4)cc3)cc1)C2,481.55,5.29,79,1,6,8,1,Obeticholic acid (OCA),FXR,0.1000,0.6201,High
T7948,CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(OC(F)F)ccc3c2)CC1,378.42,3.9,71.4,2,4,5,0,Obeticholic acid (OCA),FXR,0.1000,0.7697,High
T5386,CC(C)Oc1ccc(S(=O)(=O)N2CCN(c3ccc(-c4ncco4)c(OCC(=O)O)c3)CC2)cc1,501.56,3.1,122.4,1,8,9,1,Obeticholic acid (OCA),FXR,0.1000,0.983,High
T40544,Cc1cc(N2CCOCC2)nc2ccc(NC(=O)C3CCCCC3)cc12,353.47,3.9,54.5,1,4,3,0,Obeticholic acid (OCA),FXR,0.1000,0.8729,High
T29118,C[C@@H]1CN(c2cccnc2C#N)CCN1C(=O)C12CC3CC(CC(C3)C1)C2,364.49,3.21,60.2,0,4,2,0,Obeticholic acid (OCA),FXR,0.1000,0.6495,High
T6847,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,389.46,3.03,91.2,2,6,6,0,Obeticholic acid (OCA),FXR,0.1000,0.9505,High
T1539,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.49,4.83,64.8,0,6,8,0,Obeticholic acid (OCA),FXR,0.1000,0.3949,Low
T4695,C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O,454.41,3.52,116.2,2,7,8,0,Obeticholic acid (OCA),FXR,0.1000,0.9657,High
T16411,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,421.55,3.51,68.8,1,5,6,0,Obeticholic acid (OCA),FXR,0.1000,0.4037,Low
T62925,O=C(C1CC1)N1CC[C@@H](Cn2c(-c3ccc(-c4ccc5occc5c4)cc3)nc3cnccc32)C1,462.55,5.77,64.2,0,4,5,1,Obeticholic acid (OCA),FXR,0.1000,0.9156,High
T3976,CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC,322.4,3.75,83.8,2,5,10,0,Obeticholic acid (OCA),FXR,0.1000,0.5567,High
T12539L,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,423.52,2.26,108.8,2,7,5,0,Obeticholic acid (OCA),FXR,0.1000,0.93,High
T16111,Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)N[C@@H]2CCN(C(=O)[C@H](C)N)C[C@H]2C)c2ccccc12,508.64,3.26,121.6,3,5,6,1,Obeticholic acid (OCA),FXR,0.1000,0.8571,High
T27482,CCc1ccc([C@H]2C[C@@H](C(F)(F)F)n3ncc(C(=O)NCc4ccc(F)cn4)c3N2)cc1,447.44,4.57,71.8,2,4,5,0,Obeticholic acid (OCA),FXR,0.1000,0.9661,High
T1835,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,440.51,4.22,99.2,1,6,5,0,Obeticholic acid (OCA),FXR,0.1000,0.9772,High
T13279L,Cc1cc(C)c(CNC(=O)c2cc(Cl)c3c(c2C)O[C@@](C)(C2CCC(N(C)C)CC2)O3)c(=O)[nH]1,488.03,4.49,83.7,2,5,5,0,Obeticholic acid (OCA),FXR,0.1000,0.5967,High
T67742,CC1(C)C(=O)N(c2ccc3c(cnn3-c3ccc(F)cc3)c2)[C@H](c2ccccc2)[C@H]1NC(=O)C1CC1,482.56,5.17,67.2,1,3,5,1,Obeticholic acid (OCA),FXR,0.1000,0.9389,High
T34541,CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCC(=O)O)[C@H](C(=O)O)[C@H]2c1ccc2c(c1)OCO2,520.53,4.65,120.8,2,7,10,1,Obeticholic acid (OCA),FXR,0.1000,0.9787,High
T27634,CC(C)Cc1sc(-c2nccs2)nc1C(=O)NCc1ccc(F)cc1,375.49,4.53,54.9,1,5,6,0,Obeticholic acid (OCA),FXR,0.1000,0.9603,High
T40199,[H][C@]1([C@@]2(C)Oc3c(Cl)cc(C(=O)NCc4c(SC)cc(C)[nH]c4=O)c(C)c3O2)CC[C@H](N2CC(OC)C2)CC1,562.13,4.67,92.9,2,7,7,1,Obeticholic acid (OCA),FXR,0.1000,0.6794,High
T6785,CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,464.57,4.17,73.5,3,4,6,0,Obeticholic acid (OCA),FXR,0.1000,0.9377,High
T61271,Cc1ccc2[nH]c(-c3cccc(NC(=O)CCc4ccccc4)c3)nc2c1,355.44,5.11,57.8,2,2,5,1,Obeticholic acid (OCA),FXR,0.1000,0.887,High
T6921,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,456.51,3.31,108.3,1,6,5,0,Obeticholic acid (OCA),FXR,0.1000,0.983,High
T0815L,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,307.33,2.98,70.3,0,4,4,0,Obeticholic acid (OCA),FXR,0.1000,0.9083,High
T38662,C[C@H]1OC(C)(C)N(C(=O)CNC(=O)OCC2c3ccccc3-c3ccccc32)[C@@H]1C(=O)O,438.48,2.96,105.2,2,5,5,0,Obeticholic acid (OCA),FXR,0.1000,0.9092,High
T26360,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,381.45,3.77,58.1,1,3,6,0,Obeticholic acid (OCA),FXR,0.1000,0.2665,Low
T26086,CC1(C)Oc2ccc(S(=O)(=O)c3ccccc3)cc2[C@@H](N2CCCC2=O)[C@@H]1O,401.48,2.71,83.9,1,5,3,0,Obeticholic acid (OCA),FXR,0.1000,0.9118,High
T26086L,CC1(C)Oc2ccc(S(=O)(=O)c3ccccc3)cc2[C@H](N2CCCC2=O)[C@H]1O,401.48,2.71,83.9,1,5,3,0,Obeticholic acid (OCA),FXR,0.1000,0.9133,High
T27244,O=C(O)COCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,390.43,2.77,53,1,4,8,0,Obeticholic acid (OCA),FXR,0.1000,0.1242,Low
T15019,COc1cccc(CN(C(=O)CC(C)(C)C)[C@H]2C[C@@H](C(=O)N3CCNCC3)N(Cc3ccc4c(c3)OCO4)C2)c1,550.7,3.26,83.6,1,7,8,1,Obeticholic acid (OCA),FXR,0.1000,0.5873,High
T28824,Cc1cn(-c2cc(F)c(C(N)=O)c(N[C@H]3CCOC3)c2)c2c1C(=O)CC(C)(C)C2,399.47,3.38,86.3,2,4,4,0,Obeticholic acid (OCA),FXR,0.1000,0.9197,High
T60083,COC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)ccc3c2c1,420.44,3.15,134.9,3,6,6,0,Obeticholic acid (OCA),FXR,0.1000,0.9479,High
T5394,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,461.47,2.64,109.1,1,8,4,0,Obeticholic acid (OCA),FXR,0.1000,0.9581,High
T0242,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,407.32,2.02,77,1,4,4,0,Obeticholic acid (OCA),FXR,0.1000,0.5561,High
T69691,COC(=O)N1c2ccc3c(nc([C@H](O)c4cc(F)ccc4OC)n3[C@@H]3CCC[C@@H](C(=O)O)C3)c2CC[C@@H]1C,525.58,4.99,114.1,2,6,5,1,Obeticholic acid (OCA),FXR,0.0991,0.8673,High
T11447,CC(C)Oc1ccc(F)c(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC[C@@H](C(=O)O)C3)n2)c1,494.53,3.6,143.6,3,8,7,0,Obeticholic acid (OCA),FXR,0.0991,0.9945,High
T11224,CNC[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)[C@@H](F)C3)cnc2N)cc1F)c1cc(F)cc(Br)c1,578.43,4.42,113.2,4,6,7,1,Obeticholic acid (OCA),FXR,0.0991,0.8742,High
T7819,C=CC(=O)N1CCCC(n2nc(C(=O)Nc3ccc(CC(=O)N(C)C)c(C)c3C)c3c(N)ncnc32)C1,504.6,2.26,139.3,2,7,6,1,Obeticholic acid (OCA),FXR,0.0991,0.9604,High
T3536,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccccc3)CC2)nc1C,470.55,2.3,129.5,1,8,7,0,Obeticholic acid (OCA),FXR,0.0990,0.9194,High
T28996,CNCCN1CCC(c2cc(CN(C)C(=O)c3cccc(Oc4ccccc4)c3)ccn2)CC1,458.61,4.54,57.7,1,5,9,0,Obeticholic acid (OCA),FXR,0.0990,0.3044,Low
T30191L,N=C(N)c1ccc(CNC(=O)C2CCN2C(=O)[C@H](O)c2cc(Cl)cc(OC(F)F)c2)cc1,466.87,2.18,128.7,4,5,8,0,Obeticholic acid (OCA),FXR,0.0990,0.3216,Low
T6880,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,428.44,2.95,86,2,5,3,0,Obeticholic acid (OCA),FXR,0.0990,0.9494,High
T14688,CSc1ccc(C(=O)N[C@@H]2CCCC[C@@H]2NC(=O)CNC(=O)c2cc(C(F)(F)F)ccc2NC(=O)NC(C)C)cc1,593.67,4.54,128.4,5,5,9,1,Obeticholic acid (OCA),FXR,0.0990,0.863,High
T6521,Cc1ncc(Cl)cc1NCc1ccc(C(=O)N[C@@H](CC2CCCC2)C(=O)NC2CC2)s1,461.03,4.67,83.1,3,5,9,0,Obeticholic acid (OCA),FXR,0.0990,0.6258,High
T16932,O=C(Nc1ccccc1-c1cn2c(CN3CC[C@@H](O)C3)csc2n1)c1ccc2ccccc2c1,468.58,5.03,69.9,2,5,5,1,Obeticholic acid (OCA),FXR,0.0990,0.9391,High
T13324,COc1cc(C(=O)N(CCC2CCCN2C)C/C(C)=C/c2ccccc2F)cc(OC)c1OC,470.59,4.88,51.2,0,5,10,0,Obeticholic acid (OCA),FXR,0.0990,0.1756,Low
T2913,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@](C)(O)[C@H]2OC(=O)c1ccccc1,536.58,4.96,101.9,1,9,6,1,Obeticholic acid (OCA),FXR,0.0990,0.9411,High
TQ0217,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)[C@H](OC(=O)c1ccccc1)[C@@](C)(O)[C@@H](C)C2,536.58,4.96,101.9,1,9,6,1,Obeticholic acid (OCA),FXR,0.0990,0.9496,High
T7804,CC1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,426.42,4.47,80.6,2,4,5,0,Obeticholic acid (OCA),FXR,0.0990,0.9129,High
T6299,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,498.65,2.81,116.3,3,7,8,0,Obeticholic acid (OCA),FXR,0.0990,0.8541,High
T72505L,CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cn1)c1csc([N-]S(=O)(=O)C2CC2)n1,511.53,4.43,128.9,1,8,7,1,Obeticholic acid (OCA),FXR,0.0990,0.986,High
T2237,O=C1[C@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2ccccc12,548.64,4.27,93.2,2,4,6,1,Obeticholic acid (OCA),FXR,0.0990,0.876,High
T6113,O=C1[C@@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@@H]2CN1Cc1cccc2ccccc12,548.64,4.27,93.2,2,4,6,1,Obeticholic acid (OCA),FXR,0.0990,0.8792,High
T10783,Cn1c(-c2cccnc2)c(CCCCCC(=O)O)c2cc(Cl)ccc21,356.85,5.08,55.1,1,2,7,1,Obeticholic acid (OCA),FXR,0.0989,0.8041,High
T27808,COC(=O)C[C@@H]1C[C@@H](COc2ccc(-c3ccc(C(=N)NC(=O)OC)cc3)cc2)NC1=O,439.47,2.48,126.8,3,7,7,0,Obeticholic acid (OCA),FXR,0.0989,0.7874,High
T28750,CC(=O)N[C@H]1CC(=O)N(c2ccc(OCc3cccc(F)c3)cc2)C1,342.37,2.65,58.6,1,3,5,0,Obeticholic acid (OCA),FXR,0.0989,0.8285,High
T9732,CCn1c(C(O)(c2ccccc2)c2ccccc2)nc2ccc(C(=O)NC[C@@H](C)O)cc21,429.52,3.45,87.4,3,4,7,0,Obeticholic acid (OCA),FXR,0.0989,0.7663,High
T14531,CS(=O)(=O)c1ccc(C(=O)C2=C(Sc3ccccc3)C3CCC(C3)C2=O)c(Cl)c1,446.98,4.97,68.3,0,5,5,0,Obeticholic acid (OCA),FXR,0.0989,0.8897,High
T13408,CC[C@@H](Oc1nc(Oc2cccc(-c3cccc(CN)c3)c2)c(F)cc1F)C(=O)O,414.41,4.52,94.7,2,5,8,0,Obeticholic acid (OCA),FXR,0.0989,0.9371,High
T12918,CC(C)(C)C(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,389.53,2.56,101.2,2,6,5,0,Obeticholic acid (OCA),FXR,0.0989,0.8133,High
T21980,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,476.24,4.83,50.4,2,3,6,0,Obeticholic acid (OCA),FXR,0.0989,0.9009,High
T5199,COC(=O)C1=C(C(=O)OC)[C@@]2([C@@H](Cc3ccc(C)cc3)Nc3ccccc3)C=C[C@@H]1O2,419.48,3.37,73.9,1,6,7,0,Obeticholic acid (OCA),FXR,0.0989,0.779,High
T12987,CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,411.33,5.94,52.6,0,4,4,1,Obeticholic acid (OCA),FXR,0.0989,0.7511,High
T3714,Cc1c(C)c(NCC(=O)N(C)C2CCN(Cc3ccc(C(N)=O)cc3)CC2)c(C)c(C)c1N,451.62,3.14,104.7,3,5,7,0,Obeticholic acid (OCA),FXR,0.0989,0.0765,Low
T29663,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1,392.5,3.82,61.8,2,4,4,0,Obeticholic acid (OCA),FXR,0.0989,0.4642,Low
T28497,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(N3CC[C@H](C(=O)O)C3)c3ccccc23)c1C,452.58,4.79,86.7,2,4,5,0,Obeticholic acid (OCA),FXR,0.0989,0.9534,High
T12977,COCCO[C@@H]1c2ccn3c(C)c(C)nc3c2N[C@H](c2ccccc2)[C@H]1O,367.45,3.18,68,2,5,5,0,Obeticholic acid (OCA),FXR,0.0989,0.8777,High
T9710,Cc1nc(-c2ccccc2F)c(C(=O)NC(Cc2ccccc2)C(=O)C(N)=O)o1,395.39,2.18,115.3,2,5,7,0,Obeticholic acid (OCA),FXR,0.0989,0.916,High
T77638,Cc1ccc2oc(N[C@H](CC3CCCCC3)c3ccccn3)nc2c1,335.45,5.65,51,1,4,5,1,Obeticholic acid (OCA),FXR,0.0989,0.6139,High
T68119,Cc1ccc2oc(N[C@@H](CC3CCCCC3)c3ccccn3)nc2c1,335.45,5.65,51,1,4,5,1,Obeticholic acid (OCA),FXR,0.0989,0.5944,High
TN2293,[H][C@]12C(=C[C@H](OC(=O)CC(C)C)[C@]1(O)CCl)C(COC(C)=O)=CO[C@H]2OC(=O)CC(C)C,458.94,2.86,108.4,1,8,9,0,Obeticholic acid (OCA),FXR,0.0989,0.3369,Low
T21900,CN1CCN(C)C(=Nc2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2)C1,367.41,2.75,91.1,1,5,4,0,Obeticholic acid (OCA),FXR,0.0989,0.8809,High
T27392,CC(=O)N1c2ccc(-c3ccc(N4CCS(=O)(=O)CC4)cc3)cc2N(C(=O)C2CC2)C[C@@H]1C,467.59,3.09,78,0,5,3,0,Obeticholic acid (OCA),FXR,0.0989,0.9194,High
T2333,C=C1CCN([C@H](C)C(O)(Cn2cncn2)c2ccc(F)cc2F)CC1,348.4,2.48,54.2,1,4,5,0,Obeticholic acid (OCA),FXR,0.0989,0.3621,Low
T27832,CC(C)(C)c1ccc(CCC(O)COc2ccc(C(=O)O)cc2)cc1,342.44,4.05,66.8,2,3,7,0,Obeticholic acid (OCA),FXR,0.0988,0.668,High
T3119,C[C@H](NC(=O)CNC(=O)c1cccc(Cl)c1)c1ccccc1,316.79,2.95,58.2,2,2,5,0,Obeticholic acid (OCA),FXR,0.0988,0.5251,High
T10244,O=C(NO)c1cnc(NC2(c3ccccc3)CCC(F)(F)CC2)nc1,348.35,3.11,87.1,3,5,4,0,Obeticholic acid (OCA),FXR,0.0988,0.923,High
T65427,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(O)cc4)CC3)cc2)c1=O,393.49,3.04,66.5,1,5,5,0,Obeticholic acid (OCA),FXR,0.0988,0.9522,High
T73486,CCC1(CC)C(=O)N=C2C1=C(OCc1ccccc1)C(=O)c1ccccc12,359.43,4.49,55.7,0,3,5,0,Obeticholic acid (OCA),FXR,0.0988,0.9292,High
T36491,CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C1CCCN(O)C1=O,423.4,2.69,128.7,1,9,7,0,Obeticholic acid (OCA),FXR,0.0988,0.55,High
T18914,CN(C)c1ccc(/C=C/C=C/C2=N[C@@H](C(=O)O)CS2)cc1,302.4,2.92,52.9,1,4,5,0,Obeticholic acid (OCA),FXR,0.0988,0.8199,High
T2353,CC1(C)C(C(=O)Nc2ccc(S(=O)(=O)c3ccc(NC(=O)C4C(C)(C)C4(C)C)cc3)cc2)C1(C)C,496.67,5.76,92.3,2,4,6,1,Obeticholic acid (OCA),FXR,0.0986,0.9029,High
T6810,COc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCOCC2)c2ccccc12,437.54,3.87,85.4,2,4,6,0,Obeticholic acid (OCA),FXR,0.0980,0.8393,High
T38961L,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3CCC3CCNCC3)c2)c(O)cc1O,461.57,4.11,108.1,4,5,6,0,Obeticholic acid (OCA),FXR,0.0980,0.7505,High
T14671,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(NC(=O)NCCCN2CCC(c3cccc(OC)c3)CC2)c1,590.72,4.67,118.2,3,8,10,1,Obeticholic acid (OCA),FXR,0.0980,0.6674,High
T16860,COc1ccccc1C1CCN(c2nc(C3(F)CC3)nc3ccc(N(C)CCO)cc23)CC1,450.56,4.41,61.7,1,6,7,0,Obeticholic acid (OCA),FXR,0.0980,0.8126,High
T69665,Cn1nc(-c2ccc(C(=O)NCC(F)F)cc2)nc1Nc1ccc2[nH]ncc2c1C1CC1,437.45,3.97,100.5,3,5,7,0,Obeticholic acid (OCA),FXR,0.0980,0.9633,High
T27682,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1,482.53,2.52,94.6,3,6,6,0,Obeticholic acid (OCA),FXR,0.0980,0.3725,Low
TQ0035,Cn1c(=O)oc2cc(-n3cc(C(=O)O)c(=O)n([C@@H]4CCc5c4cccc5C(F)(F)F)c3=O)ccc21,487.39,2.7,116.4,1,5,3,0,Obeticholic acid (OCA),FXR,0.0980,0.9932,High
