Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Response To Thyroid Hormone Stimulus (GO:0097067),1/11,0.004940042922945,0.0157959397165773,0,0,249.7625,1326.3340991921912,THRB
GO_Biological_Process_2023,Negative Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903427),1/11,0.004940042922945,0.0157959397165773,0,0,249.7625,1326.3340991921912,PPARA
GO_Biological_Process_2023,Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903037),1/11,0.004940042922945,0.0157959397165773,0,0,249.7625,1326.3340991921912,PPARA
GO_Biological_Process_2023,Regulation Of Adipose Tissue Development (GO:1904177),1/11,0.004940042922945,0.0157959397165773,0,0,249.7625,1326.3340991921912,PPARG
GO_Biological_Process_2023,Lipoprotein Transport (GO:0042953),1/11,0.004940042922945,0.0157959397165773,0,0,249.7625,1326.3340991921912,PPARG
GO_Biological_Process_2023,Positive Regulation Of Purine Nucleotide Biosynthetic Process (GO:1900373),1/12,0.0053880625223818,0.0162268394569406,0,0,227.04545454545453,1185.9876925180256,PPARA
GO_Biological_Process_2023,Response To Thyroid Hormone (GO:0097066),1/12,0.0053880625223818,0.0162268394569406,0,0,227.04545454545453,1185.9876925180256,THRB
GO_Biological_Process_2023,Negative Regulation Of Cardiac Muscle Hypertrophy (GO:0010614),1/12,0.0053880625223818,0.0162268394569406,0,0,227.04545454545453,1185.9876925180256,PPARG
GO_Biological_Process_2023,Lipoprotein Localization (GO:0044872),1/12,0.0053880625223818,0.0162268394569406,0,0,227.04545454545453,1185.9876925180256,PPARG
GO_Biological_Process_2023,Positive Regulation Of Fatty Acid Oxidation (GO:0046321),1/12,0.0053880625223818,0.0162268394569406,0,0,227.04545454545453,1185.9876925180256,PPARA
GO_Biological_Process_2023,Regulation Of Fatty Acid Beta-Oxidation (GO:0031998),1/13,0.005835902950749,0.0173735501637241,0,0,208.11458333333331,1070.4844511001115,PPARA
GO_Biological_Process_2023,Regulation Of ATP Biosynthetic Process (GO:2001169),1/14,0.0062835642580931,0.0180827015871791,0,0,192.09615384615384,973.8925197668603,PPARA
GO_Biological_Process_2023,Negative Regulation Of Receptor Signaling Pathway Via STAT (GO:1904893),1/14,0.0062835642580931,0.0180827015871791,0,0,192.09615384615384,973.8925197668603,PPARG
GO_Biological_Process_2023,Positive Regulation Of Transporter Activity (GO:0032411),1/14,0.0062835642580931,0.0180827015871791,0,0,192.09615384615384,973.8925197668603,PPARD
