Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Apoptosis R-HSA-109581,1/178,0.0773215053316348,0.09076872365018,0,0,13.992937853107344,35.81888661905276,FASN
Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,1/182,0.0789962233079425,0.0914099155420478,0,0,13.680939226519335,34.72708369011773,PPARA
Reactome_2022,Developmental Biology R-HSA-1266738,2/1073,0.080556227884207,0.0919021754735319,0,0,5.04735227424303,12.713270178262494,PPARG;PPARA
Reactome_2022,Signal Transduction R-HSA-162582,3/2465,0.0887785635560421,0.0996590573501746,0,0,3.559910641754671,8.620715421072322,FASN;PPARG;PPARD
Reactome_2022,Programmed Cell Death R-HSA-5357801,1/208,0.089816187488429,0.0996590573501746,0,0,11.946859903381643,28.79181359571391,FASN
Reactome_2022,Diseases Of Metabolism R-HSA-5668914,1/247,0.1058343276889674,0.1158456830108967,0,0,10.033028455284551,22.532981497595745,ACACA
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,1/268,0.1143552667539493,0.1235036880942652,0,0,9.234082397003744,20.02360258638164,PPARG
Reactome_2022,Organelle Biogenesis And Maintenance R-HSA-1852241,1/275,0.117179496741424,0.124888674158623,0,0,8.994981751824817,19.28567586983668,PPARA
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,1/306,0.1295908107407904,0.1363228009091431,0,0,8.068032786885245,16.486003606054858,PPARG
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,1/354,0.1485024632233924,0.1542140964242921,0,0,6.953966005665722,13.262282230435094,FASN
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,1/722,0.2817777976086392,0.2889114127379718,0,0,3.340846047156727,4.23163744526553,PPARA
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,1/736,0.2864594093778288,0.2900401519950517,0,0,3.274829931972789,4.094056247676534,PPARA
Reactome_2022,Disease R-HSA-1643685,1/1736,0.5584097519821444,0.5584097519821444,0,0,1.3152737752161383,0.7663603950357469,ACACA
