ID,SMILES,MolWt
T1010,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,491.07
T10142,C#Cc1ccc(C[C@H](N)C(=O)O)cc1,189.21
T10142L,C#Cc1ccc(C[C@H](N)C(=O)O)cc1.Cl,225.68
T10146,COc1ccc(C(=O)/C=C/c2ccc(O)cc2)c(O)c1CC=C(C)C,338.40
T10148,CCCCCC(O)/C=C/C=O,156.22
T10188,N#CN1CC[C@H](C(=O)Nc2ncc(N3CCOCC3)s2)C1,307.38
T10232,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,643.72
T10237,Cl.N#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2OCC2CC2)nc1N,400.91
T10248,Cc1nccn1-c1sc(Nc2cnccn2)nc1-c1cccc(C#N)c1,359.42
T10276,CCn1c(-c2nonc2N)nc2c(C#CCO)ncc(OCCCN)c21,357.37
T10276L,CCn1c(-c2nonc2N)nc2c(C#CCO)ncc(OCCCN)c21.Cl,393.84
T1029,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,435.44
T1030,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1.Cl.O,332.88
T10320,CC1(C)[C@H](NC(=O)c2cnn(CCO)c2)C(C)(C)[C@H]1Oc1ccc(C#N)c(Cl)c1,416.91
T10325,N#C/C(=C\c1ccc[nH]1)c1ccc(Cl)c(Cl)c1,263.13
T10340,N#CCCn1cc(C=C2C(=O)NC(=O)NC2=O)c(-c2ccccc2)n1,335.32
T10359,CC1(C)[C@H](N)C(C)(C)[C@H]1Oc1ccc(C#N)c(Cl)c1,278.78
T10374,C#CCN(C)C(=O)CCNc1nc(N2CCN(C(=O)C=C)CC2)c2cc(Cl)c(-c3c(O)cccc3F)c(F)c2n1,569.01
T10394L,Cl.c1ccc(Nc2nc(N/N=C3\CN4CCC3CC4)nc(N3CCCCC3)n2)cc1,428.97
T1040,C/C1=C2\[C@@H](CCC(N)=O)C(C)(C)/C(=C/C3=NC(=C(/C)C4=N[C@@](C)(C5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)[N]2[Co+][C]#N,1355.39
T10409,O=C(N/N=C/c1ccc(Cl)cc1)N1CCc2ncnc(Nc3cccc(C(F)(F)F)c3)c2C1,474.87
T10419,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1,851.42
T1045,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,410.51
T10473,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)nc1,400.36
T10486,O=C1/C(=C/c2ccccc2)C(NC2CCCCC2)c2ccccc21,317.43
T1049,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,393.96
T1049L,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,357.49
T10509,N#Cc1cn(-c2ccc(C(=O)O)c(O)c2)c2cc(F)c(F)cc12,314.25
T1051,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.44
T10534,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,542.69
T10554,COC(=O)/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C(=O)O,394.51
T10565,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cccc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C.Cl,631.13
T10566,CC1(C)Oc2ccc(C#N)cc2[C@H](N(Cc2ncc[nH]2)c2ccc(Cl)cc2)[C@H]1O,408.89
T10573,N#Cc1c(-c2ccccc2)nc2[nH]nc(-c3ccc(Cl)c(C(F)(F)F)c3)c2c1C1CC1,438.84
T10584,CCCCCC/C=C/C=C\CCCCCCCC(=O)O,280.45
T1059,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,524.87
T1062,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,305.42
T10630,CCN(CCCCOc1ccc(/C=C/C(=O)N2CCc3ccccc3C2)cc1OC)Cc1ccccc1,498.67
T10631L,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N.O=CO,409.49
T10643,CN1CCN(c2ccc(NC(=O)c3ccc(C#N)o3)c(N3CCCCC3)c2)CC1,393.49
T10649,CC1CCN(c2cc(N3CCN(C)CC3)ccc2NC(=O)c2cc(C#N)c[nH]2)CC1,406.53
T1067,C[C@@H]1[C@H](O)[C@@H](C)\C=C/C=C\C=C/C=C\C=C/C=C\C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,924.09
T10687,COc1cc(Nc2ncc3ccn(-c4cccc(CCC#N)c4)c3n2)cc(OC)c1OC,429.48
T1070,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],493.53
T10703,N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1,567.62
T10704,COc1ncc2cc3ccccc3nc2c1C#N,235.25
T10706,COC(=O)/C(C#N)=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1,332.34
