ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
T2638,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)n[nH]1,46213929,C23H25ClFN7O,469.9,3.8,83.4,644,2,7,6
T2639,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,44251605,C15H14F2N4S,320.4,2.1,89.5,430,1,6,2
T2640,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,25066467,C30H28FN7O3,553.6,4.9,123,904,3,7,7
T2641,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)n1,72547474,C30H37ClN8O4,609.1,3.3,115,919,2,10,8
T2642,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,1401,C28H41N7O3,523.7,4.5,114,690,3,8,13
T2643,CC(C)c1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,51001299,C18H25N5S2,375.6,3.7,98.2,516,0,6,3
T2645,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,10184665,C24H33Cl2NO5,486.4,3.8,91.2,466,4,6,16
T2647,Nc1nonc1C(=NO)Nc1ccc(F)c(Cl)c1,135424953,C9H7ClFN5O2,271.63,1.6,110,321,3,7,3
T2649,CCCc1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,54765302,C18H25N5S2,375.6,3.7,98.2,504,0,6,4
T2650,O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,24988881,C17H16BrFN6O4,467.2,3.4,119,572,1,10,6
T2651,O=C(Nc1cccc2cccnc12)c1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C=C[C@H]3C2)cc1,44483163,C25H19N3O3,409.4,2.9,79.4,772,1,4,3
T2652,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,59603622,C13H14N8O2,314.30,-0.2,101,481,1,8,3
T2654,Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,53469059,C23H21FN6O,416.5,2.3,89.9,666,1,6,3
T2655,CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2OC)CCC[C@H](N2CCN(CCO)CC2)C3)ncc1Cl,71721648,C30H38ClN7O3,580.1,4.6,115,819,4,9,9
T2656,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,44480399,C21H19N3O5,393.4,3.4,95.7,579,1,7,5
T2657,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,119373,C34H33N3O5,563.6,5.6,89.1,925,2,7,8
T2659,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,11617559,C20H22N4O3,366.4,2.6,106,433,2,7,7
T2660,Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc32)nc2cccc(C)c2c1=O,9908783,C22H19N7O,397.4,2.8,102,684,1,6,3
T2661,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,9907093,C21H24N4O2,364.4,1.9,57.2,710,1,5,4
T2662,O=C(NCc1ccc2c(c1)OCO2)c1c(Cl)cccc1Cl,831629,C15H11Cl2NO3,324.2,4,47.6,372,1,3,3
T2664,Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O,11462174,C21H17FN2O2,348.4,4.4,55.1,516,1,4,4
T2666,CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,49848070,C26H24F4N6O,512.5,4.3,67.2,794,0,9,4
T2669,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,59472121,C24H25N5O3S,463.6,2.3,132,714,2,8,7
T2670,Cc1ccc(CNc2ncnc3ccc(-c4ccc(CO)o4)cc23)o1,44968231,C19H17N3O3,335.4,2.7,84.3,438,2,6,5
T2671,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,219024,C15H18N8O5,390.35,-1.5,186,587,5,10,4
T2672,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,10427712,C18H14N6O2,346.3,1.7,144,483,4,8,2
T2673,Cl.Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl,11688742,C13H10Cl3N5,342.6,,56.5,319,1,4,3
T2674,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Nc2ccccc2)cc1OC,46233311,C19H18N2O5S2,418.5,3.8,130,618,2,8,8
T2676,OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,17754438,C19H16N8O,372.4,0.7,107,524,1,7,5
T2677,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,10366136,C26H29N5O2,443.5,3.7,78.4,667,1,6,5
T2678,O=C(c1cn(Cc2cncn2Cc2ccc(Br)cc2)cc1-c1cccc2ccccc12)N1CCOCC1,10099206,C30H27BrN4O2,555.5,4.6,52.3,756,0,3,6
T2679,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,5329775,C18H17F2N3O2,345.3,3.9,67.9,456,1,6,6
T2680,Cn1cc(-c2ccc3ncc(Cc4ccc5ncccc5c4)n3n2)cn1,44206063,C20H16N6,340.4,2.5,60.9,487,0,4,3
T2681,CC(C)(O)c1nc(-c2cccc(CNC(=O)c3cnc(-c4ccccn4)nc3)c2)no1,46700750,C22H20N6O3,416.4,1.2,127,598,2,8,6
T2682,C[C@H](Nc1ncnc2nc[nH]c12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1,11618268,C21H16FN7O,401.4,3.2,99.2,670,2,7,4
T2683,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,71601111,C25H20N4O2S2,472.6,4.5,125,802,1,6,6
T2684,O=C(Nc1ccccc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,2809273,C19H19N5OS,365.5,3.5,89.6,459,1,5,3
T2685,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,5278396,C21H17NO3S2,395.5,3.9,89.4,643,0,6,2
T2686,COc1ccc2[n-]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1.[Mg+2],9568613,C34H36MgN6O6S2,713.1,,163,453,0,14,10
T2687,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,155794,C17H19N3O2S,329.4,3.5,85.3,387,1,5,5
