ID,SMILES,CID,MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
TP2158L1,CC(=O)O.CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)O,156598970,C45H71N13O12,986.1,,395,1720,13,15,26
T9107,Cc1occc1C(=O)Nc1nn(Cc2ccc(C(F)(F)F)cc2)c2ccccc12,91844684,C21H16F3N3O2,399.4,4.7,60.1,580,1,6,4
T8422,CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Cu+2],26180,C10H20CuN2S4,360.1,,72.7,73,0,4,4
T9139,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl.O=S(=O)(O)O,173636,C14H16Cl2N2O5S,395.3,,110,372,2,6,6
TMS2171,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,932,C15H12O5,272.25,2.4,87,363,3,5,1
TN6731,CNc1ccccc1C(=O)OC,6826,C9H11NO2,165.19,2.3,38.3,159,1,3,3
TQ0023,CC(=O)N(C)c1cc(-c2ccnc3c(C(=O)c4cccs4)cnn23)ccc1F,12004146,C20H15FN4O2S,394.4,2.8,95.8,609,0,6,4
TQ0041,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C.Cc1ccc(S(=O)(=O)O)cc1,73442844,C38H37FN4O8S,728.8,,167,1190,3,11,9
TQ0042,C[C@H]1C[C@@H](n2c(Nc3ccc(OC(F)(F)F)cc3)nc3cc(CCC(=O)O)ccc32)CC(C)(C)C1,118310260,C26H30F3N3O3,489.5,7.2,76.4,726,2,8,7
TQ0081,Nc1cc(COc2c(Cl)cc(C[C@H](N)C(=O)O)cc2Cl)c2oc(-c3ccccc3)nc2c1,24853505,C23H19Cl2N3O4,472.3,2.1,125,626,3,7,7
TQ0086,Cc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2C(=O)O)n1,72706115,C15H11F3N2O3,324.25,2.8,79.3,456,2,7,3
TQ0110,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,11524200,C18H13ClF2N6O,402.8,4.2,102,524,3,8,4
TQ0113,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2,213043,C19H22N4O3,354.4,2.5,106,515,2,7,5
TQ0117,CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C,23642319,C20H19ClN2O3S,402.9,3.7,90.5,620,1,4,5
TQ0197,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,54676537,C19H15NO6,353.3,2.5,109,614,1,6,4
TQ0292,CCc1nc2c(C)nc(C)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,11677589,C26H29N5O3S,491.6,4.6,114,802,2,5,7
TQ0311,Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,11292933,C25H29N5O,415.5,3.4,51.7,607,1,4,5
TN1022,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC(=O)O,14136853,C16H22O11,390.34,-1.9,183,603,6,11,7
TN1025,CC1(C)[C@H](OC(=O)c2ccccc2)CC[C@]2(C)C3=CC[C@@]4(C)[C@@H]5C[C@](C)(COC(=O)c6ccccc6)CC[C@]5(C)CC[C@]4(C)C3=CC[C@@H]12,10919365,C44H56O4,648.9,11.4,52.6,1330,0,4,7
TN1043,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O.[Cl-],29231,C27H31ClO15,631.0,,240,882,10,15,6
TN1073,COC(=O)C1=COC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)(CC(=O)O)C1CC(=O)O,131637446,C17H24O14,452.4,-3.2,230,722,7,14,9
TN1110,CC1(O)C[C@@H](O)[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]21,163333215,C16H24O11,392.35,-2.9,186,609,7,11,4
TN1130,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(CO)OC[C@@]35[C@@H](C[C@@H]12)OC(=O)[C@H](O)[C@]54O,10320238,C20H26O10,426.4,-2.9,174,872,6,10,1
TN1222,CC(=O)O[C@@H]1C[C@@]23C[C@@]24CC[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)[C@@H]4CC[C@H]3[C@]2(C)C[C@@H]3O[C@]4(C[C@@H](C)[C@@H]3[C@@]12C)OC[C@@]1(C)O[C@@H]41,10974362,C37H56O10,660.8,3.9,136,1360,3,10,4
TN1291,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(OC)c3)oc2c1,5272653,C18H16O6,328.3,2.4,74.2,490,1,6,4
TN1341,CC(C)=CCc1c(O)c(CC=C(C)C)c2oc3c(O)cccc3c(=O)c2c1O,392450,C23H24O5,380.4,6.3,87,631,3,5,4
TN1343,CC(C)=CCCC(C)=CCOc1c2occc2cc2ccc(=O)oc12,155658,C21H22O4,338.4,5.3,48.7,570,0,4,6
TN1369,CC(C)=CCc1c2ccoc2c(O)c2oc(=O)ccc12,69502,C16H14O4,270.28,3.9,59.7,449,1,4,2
TN1384,CC(C)(O)[C@@H]1Cc2c(cc3oc(CO)cc(=O)c3c2O)O1,46240156,C15H16O6,292.28,0.9,96.2,471,3,6,2
TN1427,COC(=O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,15223582,C22H20O11,460.4,1.4,172,763,5,11,5
TN1429,COc1cc(O)c(C(C)=O)c(OC)c1C,11287272,C11H14O4,210.23,2.1,55.8,229,1,4,3
TN1432,CC(C)=C[C@@H]1CO[C@]23C[C@]4(CO2)[C@H](CC[C@@H]2[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](CO)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]24C)[C@H]3[C@@]1(C)O,21599443,C46H74O17,899.1,2,256,1710,9,17,9
TN1576,C=CCSSCC=C,16590,C6H10S2,146.3,2.2,50.6,58,0,2,5
TN1652,COc1cc2oc3cc(OC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,231412,C26H30O6,438.5,6.9,74.2,707,1,6,7
TN1675,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1,96539,C19H18O7,358.3,3.3,83.5,526,1,7,5
TN1754,COCC12CCC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C13)C4N(C)C2,76189740,C24H39NO8,469.6,-1.9,121,830,4,9,5
TN1757,COC[C@H]1Cc2cc(OC)c3c(c2[C@@H](c2ccc(OC)c(OC)c2)[C@@H]1COC)OCO3,71749431,C24H30O7,430.5,3.6,64.6,560,0,7,8
TN1786,COc1ccc2ccc(=O)oc2c1CC(=O)C(C)C,473252,C15H16O4,260.28,2.5,52.6,386,0,4,4
TN1800,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1,102004611,C22H24O10,448.4,0.9,155,638,5,10,5
TN1819,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,5318761,C27H30O15,594.5,-0.4,245,985,9,15,6
TN1828,C[C@@]12C=Cc3occc3[C@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](O)(CO)C3,114778,C20H26O3,314.4,3.4,53.6,545,2,3,1
TN1922,COc1ccc2ccc(=O)oc2c1C[C@@H](O)C(C)(C)O,821433,C15H18O5,278.30,1.5,76,390,2,5,4
TN1987,COc1c(C(C)C)cc(O)c2c1CC[C@H]1C3=C(CC[C@]21C)C(=O)OC3,133766,C21H26O4,342.4,4,55.8,595,1,4,2
TN2080,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,73399,C20H22O6,358.4,2.3,77.4,431,2,6,4
TN2121,COc1cc(OC)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,97332,C20H20O7,372.4,3.2,72.5,561,0,7,6
TN2182,COC(=O)C1=CO[C@@H]2O[C@@H]3C[C@H]1[C@H]2[C@H](C)O3,131636889,C11H14O5,226.23,0.8,54,350,0,5,2
TN2241,COc1ccc(C[C@@H]2C(=O)OC[C@H]2Cc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)cc1OC,11330069,C27H34O11,534.6,1.8,153,753,4,11,10
TN2275,COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2cc(C)c(C(C)=O)c(O)c12,157631,C20H24O9,408.4,1.2,146,572,5,9,5
TN2316,CC1(C)C=Cc2cc3ccc(=O)oc3cc2O1,65188,C14H12O3,228.24,2.8,35.5,394,0,3,0
TN2376,OC[C@H]1O[C@@](CO)(OC[C@@]2(OC[C@@]3(OC[C@@]4(OC[C@@]5(OC[C@@]6(OC[C@@]7(O[C@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)O[C@H](CO)[C@@H](O)[C@@H]7O)O[C@H](CO)[C@@H](O)[C@@H]6O)O[C@H](CO)[C@@H](O)[C@@H]5O)O[C@H](CO)[C@@H](O)[C@@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,135394093,C48H82O41,1315.1,-14.8,664,2260,26,41,29
T12079,CC(C)C[C@H](NC(=O)C(C)(C)NC(=O)c1ccccc1C(F)(F)F)B(O)O,57655545,C17H24BF3N2O4,388.2,,98.7,527,4,7,7
T19431,COc1cc([C@@H]2Oc3cc4oc(=O)ccc4cc3O[C@H]2CO)cc(OC)c1O,91895364,C20H18O8,386.4,2.1,104,581,2,8,4
T19433,CC1C(=O)OC2CC[N+]3([O-])CC=C(COC(=O)C(C)(O)C1(C)O)C23,197173,C16H23NO7,341.36,-1.3,111,620,2,7,0
